Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Air Pollution Morality,0.07518133266636264,643.49,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Air Pollution Morality,0.07518133266636264,643.49,number of deaths per 100'000 people per year,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Air Pollution Morality,0.07518133266636264,643.49,number of deaths per 100'000 people per year,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Air Pollution Morality,0.23014903853227214,538.16,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Air Pollution Morality,0.4864276361282349,363.97,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Middle Africa,Republic of Angola
AGO,2012,Air Pollution Morality,0.4864276361282349,363.97,number of deaths per 100'000 people per year,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2017,Air Pollution Morality,0.4864276361282349,363.97,number of deaths per 100'000 people per year,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2022,Air Pollution Morality,0.5858847415733643,296.37,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Middle Africa,Republic of Angola
ALB,2007,Air Pollution Morality,0.759787550206712,178.17000000000002,number of deaths per 100'000 people per year,World Health Organization (WHO),Europe,Southern Europe,Republic of Albania
ALB,2012,Air Pollution Morality,0.759787550206712,178.17000000000002,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2017,Air Pollution Morality,0.759787550206712,178.17000000000002,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2022,Air Pollution Morality,0.751165972722859,184.03,number of deaths per 100'000 people per year,World Health Organization (WHO),Europe,Southern Europe,Republic of Albania
AND,2007,Air Pollution Morality,0.8341229089732084,127.645,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2012,Air Pollution Morality,0.8341229089732084,127.645,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2017,Air Pollution Morality,0.8341229089732084,127.645,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2022,Air Pollution Morality,0.8701356500757698,103.1675,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Principality of Andorra
ARE,2007,Air Pollution Morality,0.7954067295384661,153.95999999999998,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Western Asia,United Arab Emirates
ARE,2012,Air Pollution Morality,0.7954067295384661,153.95999999999998,number of deaths per 100'000 people per year,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2017,Air Pollution Morality,0.7954067295384661,153.95999999999998,number of deaths per 100'000 people per year,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2022,Air Pollution Morality,0.815813091262193,140.09,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Western Asia,United Arab Emirates
ARG,2007,Air Pollution Morality,0.9165649045888566,71.61,number of deaths per 100'000 people per year,World Health Organization (WHO),America,South America,Argentine Republic
ARG,2012,Air Pollution Morality,0.9165649045888566,71.61,number of deaths per 100'000 people per year,Estimated,America,South America,Argentine Republic
ARG,2017,Air Pollution Morality,0.9165649045888566,71.61,number of deaths per 100'000 people per year,Estimated,America,South America,Argentine Republic
ARG,2022,Air Pollution Morality,0.9342347246538862,59.6,number of deaths per 100'000 people per year,World Health Organization (WHO),America,South America,Argentine Republic
ARM,2007,Air Pollution Morality,0.7495475878709411,185.13,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Western Asia,Republic of Armenia
ARM,2012,Air Pollution Morality,0.7495475878709411,185.13,number of deaths per 100'000 people per year,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2017,Air Pollution Morality,0.7495475878709411,185.13,number of deaths per 100'000 people per year,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2022,Air Pollution Morality,0.8034398034398034,148.5,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Western Asia,Republic of Armenia
ASM,2007,Air Pollution Morality,0.671990171990172,237.845,number of deaths per 100'000 people per year,Estimated,Oceania,Polynesia,American Samoa
ASM,2012,Air Pollution Morality,0.671990171990172,237.845,number of deaths per 100'000 people per year,Estimated,Oceania,Polynesia,American Samoa
ASM,2017,Air Pollution Morality,0.671990171990172,237.845,number of deaths per 100'000 people per year,Estimated,Oceania,Polynesia,American Samoa
ASM,2022,Air Pollution Morality,0.7311715635068928,197.62,number of deaths per 100'000 people per year,Estimated,Oceania,Polynesia,American Samoa
ATG,2007,Air Pollution Morality,0.9585987729700305,43.04,number of deaths per 100'000 people per year,World Health Organization (WHO),America,Caribbean,Antigua and Barbuda
ATG,2012,Air Pollution Morality,0.9585987729700305,43.04,number of deaths per 100'000 people per year,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2017,Air Pollution Morality,0.9585987729700305,43.04,number of deaths per 100'000 people per year,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2022,Air Pollution Morality,0.9651900130942046,38.56,number of deaths per 100'000 people per year,World Health Organization (WHO),America,Caribbean,Antigua and Barbuda
AUS,2007,Air Pollution Morality,0.9838602892495107,25.869999999999997,number of deaths per 100'000 people per year,World Health Organization (WHO),Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2012,Air Pollution Morality,0.9838602892495107,25.869999999999997,number of deaths per 100'000 people per year,Estimated,Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2017,Air Pollution Morality,0.9838602892495107,25.869999999999997,number of deaths per 100'000 people per year,Estimated,Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2022,Air Pollution Morality,0.9930703703158792,19.61,number of deaths per 100'000 people per year,World Health Organization (WHO),Oceania,Australia and New Zealand,Commonwealth of Australia
AUT,2007,Air Pollution Morality,0.9482263973281937,50.089999999999996,number of deaths per 100'000 people per year,World Health Organization (WHO),Europe,Western Europe,Republic of Austria
AUT,2012,Air Pollution Morality,0.9482263973281937,50.089999999999996,number of deaths per 100'000 people per year,Estimated,Europe,Western Europe,Republic of Austria
AUT,2017,Air Pollution Morality,0.9482263973281937,50.089999999999996,number of deaths per 100'000 people per year,Estimated,Europe,Western Europe,Republic of Austria
AUT,2022,Air Pollution Morality,0.9704718327472818,34.97,number of deaths per 100'000 people per year,World Health Organization (WHO),Europe,Western Europe,Republic of Austria
AZE,2007,Air Pollution Morality,0.5781753446424105,301.61,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Western Asia,Republic of Azerbaijan
AZE,2012,Air Pollution Morality,0.5781753446424105,301.61,number of deaths per 100'000 people per year,Estimated,Asia,Western Asia,Republic of Azerbaijan
AZE,2017,Air Pollution Morality,0.5781753446424105,301.61,number of deaths per 100'000 people per year,Estimated,Asia,Western Asia,Republic of Azerbaijan
AZE,2022,Air Pollution Morality,0.6632582500845974,243.78,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Western Asia,Republic of Azerbaijan
BDI,2007,Air Pollution Morality,0.2862775677146935,500.01,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Eastern Africa,Republic of Burundi
BDI,2012,Air Pollution Morality,0.2862775677146935,500.01,number of deaths per 100'000 people per year,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2017,Air Pollution Morality,0.2862775677146935,500.01,number of deaths per 100'000 people per year,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2022,Air Pollution Morality,0.4060233341670467,418.62,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Eastern Africa,Republic of Burundi
BEL,2007,Air Pollution Morality,0.9525077608909944,47.18,number of deaths per 100'000 people per year,World Health Organization (WHO),Europe,Western Europe,Kingdom of Belgium
BEL,2012,Air Pollution Morality,0.9525077608909944,47.18,number of deaths per 100'000 people per year,Estimated,Europe,Western Europe,Kingdom of Belgium
BEL,2017,Air Pollution Morality,0.9525077608909944,47.18,number of deaths per 100'000 people per year,Estimated,Europe,Western Europe,Kingdom of Belgium
BEL,2022,Air Pollution Morality,0.9767541084906354,30.7,number of deaths per 100'000 people per year,World Health Organization (WHO),Europe,Western Europe,Kingdom of Belgium
BEN,2007,Air Pollution Morality,0.3457605673174535,459.58000000000004,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Western Africa,Republic of Benin
BEN,2012,Air Pollution Morality,0.3457605673174535,459.58000000000004,number of deaths per 100'000 people per year,Estimated,Africa,Western Africa,Republic of Benin
BEN,2017,Air Pollution Morality,0.3457605673174535,459.58000000000004,number of deaths per 100'000 people per year,Estimated,Africa,Western Africa,Republic of Benin
BEN,2022,Air Pollution Morality,0.41368859332931196,413.40999999999997,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Western Africa,Republic of Benin
BFA,2007,Air Pollution Morality,0.34462769792111114,460.34999999999997,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Western Africa,Burkina Faso
BFA,2012,Air Pollution Morality,0.34462769792111114,460.34999999999997,number of deaths per 100'000 people per year,Estimated,Africa,Western Africa,Burkina Faso
BFA,2017,Air Pollution Morality,0.34462769792111114,460.34999999999997,number of deaths per 100'000 people per year,Estimated,Africa,Western Africa,Burkina Faso
BFA,2022,Air Pollution Morality,0.413673880739749,413.42,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Western Africa,Burkina Faso
BGD,2007,Air Pollution Morality,0.4758051464638291,371.19,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Southern Asia,People's Republic of Bangladesh
BGD,2012,Air Pollution Morality,0.4758051464638291,371.19,number of deaths per 100'000 people per year,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2017,Air Pollution Morality,0.4758051464638291,371.19,number of deaths per 100'000 people per year,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2022,Air Pollution Morality,0.5973017110741662,288.61,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Southern Asia,People's Republic of Bangladesh
BGR,2007,Air Pollution Morality,0.7902099159584188,157.49222222222224,number of deaths per 100'000 people per year,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2012,Air Pollution Morality,0.7902099159584188,157.49222222222224,number of deaths per 100'000 people per year,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2017,Air Pollution Morality,0.7902099159584188,157.49222222222224,number of deaths per 100'000 people per year,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BGR,2022,Air Pollution Morality,0.8628557790234438,108.11555555555555,number of deaths per 100'000 people per year,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BHR,2007,Air Pollution Morality,0.7577425002574703,179.56,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Western Asia,Kingdom of Bahrain
BHR,2012,Air Pollution Morality,0.7577425002574703,179.56,number of deaths per 100'000 people per year,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2017,Air Pollution Morality,0.7577425002574703,179.56,number of deaths per 100'000 people per year,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2022,Air Pollution Morality,0.821374450116965,136.31,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Western Asia,Kingdom of Bahrain
BHS,2007,Air Pollution Morality,0.9948947314216775,18.369999999999997,number of deaths per 100'000 people per year,World Health Organization (WHO),America,Caribbean,Commonwealth of the Bahamas
BHS,2012,Air Pollution Morality,0.9948947314216775,18.369999999999997,number of deaths per 100'000 people per year,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2017,Air Pollution Morality,0.9948947314216775,18.369999999999997,number of deaths per 100'000 people per year,Estimated,America,Caribbean,Commonwealth of the Bahamas
