Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Air Pollution Mortality,0.020193803196740627,643.49,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Air Pollution Mortality,0.020193803196740627,643.49,number of deaths per 100'000 people per year,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Air Pollution Mortality,0.020193803196740627,643.49,number of deaths per 100'000 people per year,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Air Pollution Mortality,0.06742146123214864,538.16,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Air Pollution Mortality,0.1706908212057071,363.97,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Middle Africa,Republic of Angola
AGO,2012,Air Pollution Mortality,0.1706908212057071,363.97,number of deaths per 100'000 people per year,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2017,Air Pollution Mortality,0.1706908212057071,363.97,number of deaths per 100'000 people per year,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2022,Air Pollution Mortality,0.22490312401109647,296.37,number of deaths per 100'000 people per year,World Health Organization (WHO),Africa,Middle Africa,Republic of Angola
ALB,2007,Air Pollution Mortality,0.35899071173548724,178.17000000000002,number of deaths per 100'000 people per year,World Health Organization (WHO),Europe,Southern Europe,Republic of Albania
ALB,2012,Air Pollution Mortality,0.35899071173548724,178.17000000000002,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2017,Air Pollution Mortality,0.35899071173548724,178.17000000000002,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2022,Air Pollution Mortality,0.35047320524233266,184.03,number of deaths per 100'000 people per year,World Health Organization (WHO),Europe,Southern Europe,Republic of Albania
AND,2007,Air Pollution Mortality,0.4466666545201415,127.645,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2012,Air Pollution Mortality,0.4466666545201415,127.645,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2017,Air Pollution Mortality,0.4466666545201415,127.645,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2022,Air Pollution Mortality,0.502524738784067,103.1675,number of deaths per 100'000 people per year,Estimated,Europe,Southern Europe,Principality of Andorra
ARE,2007,Air Pollution Mortality,0.39741080227005393,153.95999999999998,number of deaths per 100'000 people per year,World Health Organization (WHO),Asia,Western Asia,United Arab Emirates
