Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Basel,0.0,0.0,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2012,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2017,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2022,Basel,0.0,0.0,,Estimated,Africa,Middle Africa,Republic of Angola
ALB,2007,Basel,0.51998,51.998,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2012,Basel,0.51998,51.998,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2017,Basel,0.51998,51.998,,xx,Europe,Southern Europe,Republic of Albania
ALB,2022,Basel,0.8,80.0,,xx,Europe,Southern Europe,Republic of Albania
AND,2007,Basel,0.92,92.0,,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2012,Basel,0.92,92.0,,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2017,Basel,0.92,92.0,,xx,Europe,Southern Europe,Principality of Andorra
AND,2022,Basel,0.8,80.0,,xx,Europe,Southern Europe,Principality of Andorra
ARE,2007,Basel,0.0,0.0,,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2012,Basel,0.0,0.0,,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2017,Basel,0.0,0.0,,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2022,Basel,0.0,0.0,,Estimated,Asia,Western Asia,United Arab Emirates
ARG,2007,Basel,0.0,0.0,,Estimated,America,South America,Argentine Republic
ARG,2012,Basel,0.0,0.0,,Estimated,America,South America,Argentine Republic
ARG,2017,Basel,0.0,0.0,,Estimated,America,South America,Argentine Republic
ARG,2022,Basel,0.0,0.0,,Estimated,America,South America,Argentine Republic
ARM,2007,Basel,1.0,100.0,,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2012,Basel,1.0,100.0,,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2017,Basel,1.0,100.0,,xx,Asia,Western Asia,Republic of Armenia
