Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Citizen Carbon Footprint,0.9925676527277426,0.844856,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Citizen Carbon Footprint,0.989757829739155,1.1042323,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Citizen Carbon Footprint,0.9913431714264425,0.95788854,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Citizen Carbon Footprint,0.9920760582029715,0.89023536,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Citizen Carbon Footprint,0.9002369800143332,9.367951,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Africa,Middle Africa,Republic of Angola
AGO,2012,Citizen Carbon Footprint,0.900379108950594,9.354831,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Africa,Middle Africa,Republic of Angola
AGO,2017,Citizen Carbon Footprint,0.9246791022599719,7.1116853,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Africa,Middle Africa,Republic of Angola
AGO,2022,Citizen Carbon Footprint,0.9462993974717281,5.115904,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Africa,Middle Africa,Republic of Angola
ALB,2007,Citizen Carbon Footprint,0.9691065527153481,3.010563,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Europe,Southern Europe,Republic of Albania
ALB,2012,Citizen Carbon Footprint,0.9674028362569125,3.167834,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Europe,Southern Europe,Republic of Albania
ALB,2017,Citizen Carbon Footprint,0.9658636546248953,3.3099167,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Europe,Southern Europe,Republic of Albania
ALB,2022,Citizen Carbon Footprint,0.9710975386198024,2.826774,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Europe,Southern Europe,Republic of Albania
AND,2007,Citizen Carbon Footprint,0.9055262672118867,8.879694,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Europe,Southern Europe,Principality of Andorra
AND,2012,Citizen Carbon Footprint,0.90771543198524,8.677611,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Europe,Southern Europe,Principality of Andorra
AND,2017,Citizen Carbon Footprint,0.9152153798744562,7.9852867,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Europe,Southern Europe,Principality of Andorra
AND,2022,Citizen Carbon Footprint,0.9363121498659546,6.0378323,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Europe,Southern Europe,Principality of Andorra
ARE,2007,Citizen Carbon Footprint,0.6796737677910472,29.728262,metric tons of CO₂ per capita per year,Global Carbon Budget – processed by Our World in Data,Asia,Western Asia,United Arab Emirates
