Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,EJ Events,1.0,0.0,%,EJ Atlas,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,EJ Events,0.99471985087206,0.0005213764337851,%,EJ Atlas,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,EJ Events,0.9957765411635009,0.000417014178482,%,EJ Atlas,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,EJ Events,0.9961650706062528,0.0003786444528587,%,EJ Atlas,Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,EJ Events,0.9820909272595275,0.0017694939247374713,%,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2012,EJ Events,0.9811549488519926,0.0018620586920899001,%,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2017,EJ Events,0.9831167196374934,0.0016680567139282286,%,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2022,EJ Events,0.983027752168044,0.0016768540055173285,%,Estimated,Africa,Middle Africa,Republic of Angola
ALB,2007,EJ Events,0.9916384924079643,0.0008257638315441,%,EJ Atlas,Europe,Southern Europe,Republic of Albania
ALB,2012,EJ Events,0.9841678021339545,0.0015641293013555,%,EJ Atlas,Europe,Southern Europe,Republic of Albania
ALB,2017,EJ Events,0.9873349024478105,0.0012510425354462,%,EJ Atlas,Europe,Southern Europe,Republic of Albania
ALB,2022,EJ Events,0.9846689855374344,0.001514577811435,%,EJ Atlas,Europe,Southern Europe,Republic of Albania
AND,2007,EJ Events,0.9364970773712623,0.006288509178682531,%,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2012,EJ Events,0.9436851287756858,0.005574717253549315,%,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2017,EJ Events,0.9484643944618909,0.005100404182972939,%,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2022,EJ Events,0.947910233130924,0.005155389858153907,%,Estimated,Europe,Southern Europe,Principality of Andorra
ARE,2007,EJ Events,0.9832838809054443,0.0016515276630883,%,EJ Atlas,Asia,Western Asia,United Arab Emirates
ARE,2012,EJ Events,0.9894424525382657,0.0010427528675703,%,EJ Atlas,Asia,Western Asia,United Arab Emirates
ARE,2017,EJ Events,0.9915548424682641,0.0008340283569641,%,EJ Atlas,Asia,Western Asia,United Arab Emirates
ARE,2022,EJ Events,0.992331592463018,0.0007572889057175,%,EJ Atlas,Asia,Western Asia,United Arab Emirates
ARG,2007,EJ Events,0.8094101530475621,0.0189925681255161,%,EJ Atlas,America,South America,Argentine Republic
ARG,2012,EJ Events,0.8323855720464536,0.0166840458811261,%,EJ Atlas,America,South America,Argentine Republic
ARG,2017,EJ Events,0.8282660541375789,0.0170975813177648,%,EJ Atlas,America,South America,Argentine Republic
ARG,2022,EJ Events,0.8288495183155276,0.0170390003786444,%,EJ Atlas,America,South America,Argentine Republic
