,Region,Year,Indicator,continent,UNregion,name_official,Normalized
0,AFG,2007,EJ Index,Asia,Southern Asia,Islamic Republic of Afghanistan,0.463951485957827
1,AFG,2012,EJ Index,Asia,Southern Asia,Islamic Republic of Afghanistan,0.4632176368749201
2,AFG,2017,EJ Index,Asia,Southern Asia,Islamic Republic of Afghanistan,0.4655125113388985
3,AFG,2022,EJ Index,Asia,Southern Asia,Islamic Republic of Afghanistan,0.4805985503605442
4,AGO,2007,EJ Index,Africa,Middle Africa,Republic of Angola,0.5606087985177993
5,AGO,2012,EJ Index,Africa,Middle Africa,Republic of Angola,0.56054474362022
6,AGO,2017,EJ Index,Africa,Middle Africa,Republic of Angola,0.5638512001928127
7,AGO,2022,EJ Index,Africa,Middle Africa,Republic of Angola,0.5570664847768423
8,ALB,2007,EJ Index,Europe,Southern Europe,Republic of Albania,0.7402256749165461
9,ALB,2012,EJ Index,Europe,Southern Europe,Republic of Albania,0.7320368696844809
10,ALB,2017,EJ Index,Europe,Southern Europe,Republic of Albania,0.6872908268582056
11,ALB,2022,EJ Index,Europe,Southern Europe,Republic of Albania,0.7038519255903405
12,AND,2007,EJ Index,Europe,Southern Europe,Principality of Andorra,0.6838330250562464
13,AND,2012,EJ Index,Europe,Southern Europe,Principality of Andorra,0.6847508416165404
14,AND,2017,EJ Index,Europe,Southern Europe,Principality of Andorra,0.6835967265334731
15,AND,2022,EJ Index,Europe,Southern Europe,Principality of Andorra,0.6854173525702549
16,ARE,2007,EJ Index,Asia,Western Asia,United Arab Emirates,0.6702725863120194
17,ARE,2012,EJ Index,Asia,Western Asia,United Arab Emirates,0.6695452835853393
18,ARE,2017,EJ Index,Asia,Western Asia,United Arab Emirates,0.6680621844521465
19,ARE,2022,EJ Index,Asia,Western Asia,United Arab Emirates,0.6674185808809094
20,ARG,2007,EJ Index,America,South America,Argentine Republic,0.6615990735962773
21,ARG,2012,EJ Index,America,South America,Argentine Republic,0.663970097111979
22,ARG,2017,EJ Index,America,South America,Argentine Republic,0.6825032973252382
23,ARG,2022,EJ Index,America,South America,Argentine Republic,0.6786042788170332
24,ARM,2007,EJ Index,Asia,Western Asia,Republic of Armenia,0.7213454705946318
25,ARM,2012,EJ Index,Asia,Western Asia,Republic of Armenia,0.722835845415658
26,ARM,2017,EJ Index,Asia,Western Asia,Republic of Armenia,0.7218841257619862
27,ARM,2022,EJ Index,Asia,Western Asia,Republic of Armenia,0.7286438350189343
28,ASM,2007,EJ Index,Oceania,Polynesia,American Samoa,0.6473777835523333
29,ASM,2012,EJ Index,Oceania,Polynesia,American Samoa,0.6456853466062136
30,ASM,2017,EJ Index,Oceania,Polynesia,American Samoa,0.6453838120248581
31,ASM,2022,EJ Index,Oceania,Polynesia,American Samoa,0.655920020979903
32,ATG,2007,EJ Index,America,Caribbean,Antigua and Barbuda,0.7306779969083713
33,ATG,2012,EJ Index,America,Caribbean,Antigua and Barbuda,0.7340187112673172
34,ATG,2017,EJ Index,America,Caribbean,Antigua and Barbuda,0.7160942919342204
35,ATG,2022,EJ Index,America,Caribbean,Antigua and Barbuda,0.7112782349500288
36,AUS,2007,EJ Index,Oceania,Australia and New Zealand,Commonwealth of Australia,0.7180077517281016
37,AUS,2012,EJ Index,Oceania,Australia and New Zealand,Commonwealth of Australia,0.7221970748264046
38,AUS,2017,EJ Index,Oceania,Australia and New Zealand,Commonwealth of Australia,0.7341099835662539
39,AUS,2022,EJ Index,Oceania,Australia and New Zealand,Commonwealth of Australia,0.735262331848425
40,AUT,2007,EJ Index,Europe,Western Europe,Republic of Austria,0.8050417853148549
41,AUT,2012,EJ Index,Europe,Western Europe,Republic of Austria,0.8167328869362027
42,AUT,2017,EJ Index,Europe,Western Europe,Republic of Austria,0.8189935950534458
43,AUT,2022,EJ Index,Europe,Western Europe,Republic of Austria,0.8123247524064787
44,AZE,2007,EJ Index,Asia,Western Asia,Republic of Azerbaijan,0.7054620289961482
45,AZE,2012,EJ Index,Asia,Western Asia,Republic of Azerbaijan,0.7060630353178154
46,AZE,2017,EJ Index,Asia,Western Asia,Republic of Azerbaijan,0.7048568593994102
47,AZE,2022,EJ Index,Asia,Western Asia,Republic of Azerbaijan,0.710176822930918
48,BDI,2007,EJ Index,Africa,Eastern Africa,Republic of Burundi,0.5395396039842063
49,BDI,2012,EJ Index,Africa,Eastern Africa,Republic of Burundi,0.5384888196919538
50,BDI,2017,EJ Index,Africa,Eastern Africa,Republic of Burundi,0.5491874646567816
51,BDI,2022,EJ Index,Africa,Eastern Africa,Republic of Burundi,0.5775018160551502
52,BEL,2007,EJ Index,Europe,Western Europe,Kingdom of Belgium,0.7944944099642672
53,BEL,2012,EJ Index,Europe,Western Europe,Kingdom of Belgium,0.82331777536215
54,BEL,2017,EJ Index,Europe,Western Europe,Kingdom of Belgium,0.7959211745230697
55,BEL,2022,EJ Index,Europe,Western Europe,Kingdom of Belgium,0.7944950609688538
56,BEN,2007,EJ Index,Africa,Western Africa,Republic of Benin,0.5835306741598139
57,BEN,2012,EJ Index,Africa,Western Africa,Republic of Benin,0.5993535647533191
58,BEN,2017,EJ Index,Africa,Western Africa,Republic of Benin,0.6021158670719162
59,BEN,2022,EJ Index,Africa,Western Africa,Republic of Benin,0.610997265310623
60,BFA,2007,EJ Index,Africa,Western Africa,Burkina Faso,0.5204980711011002
61,BFA,2012,EJ Index,Africa,Western Africa,Burkina Faso,0.5240207241719272
62,BFA,2017,EJ Index,Africa,Western Africa,Burkina Faso,0.5250427041604586
63,BFA,2022,EJ Index,Africa,Western Africa,Burkina Faso,0.532571039623464
64,BGD,2007,EJ Index,Asia,Southern Asia,People's Republic of Bangladesh,0.5805182906531645
65,BGD,2012,EJ Index,Asia,Southern Asia,People's Republic of Bangladesh,0.5790768190750504
66,BGD,2017,EJ Index,Asia,Southern Asia,People's Republic of Bangladesh,0.5783676304329362
67,BGD,2022,EJ Index,Asia,Southern Asia,People's Republic of Bangladesh,0.5863910369931391
68,BGR,2007,EJ Index,Europe,Eastern Europe,Republic of Bulgaria,0.7903731124931717
69,BGR,2012,EJ Index,Europe,Eastern Europe,Republic of Bulgaria,0.8003395447267816
70,BGR,2017,EJ Index,Europe,Eastern Europe,Republic of Bulgaria,0.8034194278727902
71,BGR,2022,EJ Index,Europe,Eastern Europe,Republic of Bulgaria,0.8083678123522678
72,BHR,2007,EJ Index,Asia,Western Asia,Kingdom of Bahrain,0.5832164631410099
73,BHR,2012,EJ Index,Asia,Western Asia,Kingdom of Bahrain,0.5858463847661604
74,BHR,2017,EJ Index,Asia,Western Asia,Kingdom of Bahrain,0.6024944091480666
75,BHR,2022,EJ Index,Asia,Western Asia,Kingdom of Bahrain,0.5434151877314897
76,BHS,2007,EJ Index,America,Caribbean,Commonwealth of the Bahamas,0.7032487874855926
77,BHS,2012,EJ Index,America,Caribbean,Commonwealth of the Bahamas,0.7067355445147354
78,BHS,2017,EJ Index,America,Caribbean,Commonwealth of the Bahamas,0.6848434624952863
79,BHS,2022,EJ Index,America,Caribbean,Commonwealth of the Bahamas,0.6788992878684643
80,BIH,2007,EJ Index,Europe,Southern Europe,Bosnia and Herzegovina,0.6950364756916814
81,BIH,2012,EJ Index,Europe,Southern Europe,Bosnia and Herzegovina,0.6955638070753069
82,BIH,2017,EJ Index,Europe,Southern Europe,Bosnia and Herzegovina,0.6852236791739477
83,BIH,2022,EJ Index,Europe,Southern Europe,Bosnia and Herzegovina,0.6994038331340949
84,BLR,2007,EJ Index,Europe,Eastern Europe,Republic of Belarus,0.7635419639179314
85,BLR,2012,EJ Index,Europe,Eastern Europe,Republic of Belarus,0.7654533401701543
86,BLR,2017,EJ Index,Europe,Eastern Europe,Republic of Belarus,0.7675664604896213
87,BLR,2022,EJ Index,Europe,Eastern Europe,Republic of Belarus,0.76212772982879
88,BLZ,2007,EJ Index,America,Central America,Belize,0.7049423959807384
89,BLZ,2012,EJ Index,America,Central America,Belize,0.705551390818936
90,BLZ,2017,EJ Index,America,Central America,Belize,0.6998086826522585
91,BLZ,2022,EJ Index,America,Central America,Belize,0.7028428144399707
92,BMU,2007,EJ Index,America,Northern America,Bermuda,0.6345898084753956
93,BMU,2012,EJ Index,America,Northern America,Bermuda,0.6458505872324727
94,BMU,2017,EJ Index,America,Northern America,Bermuda,0.6413855810337058
95,BMU,2022,EJ Index,America,Northern America,Bermuda,0.631203596095523
96,BOL,2007,EJ Index,America,South America,Plurinational State of Bolivia,0.6258643650933138
97,BOL,2012,EJ Index,America,South America,Plurinational State of Bolivia,0.631185989998468
98,BOL,2017,EJ Index,America,South America,Plurinational State of Bolivia,0.6555610123129788
99,BOL,2022,EJ Index,America,South America,Plurinational State of Bolivia,0.6500748173775094
100,BRA,2007,EJ Index,America,South America,Federative Republic of Brazil,0.6210697549659672
101,BRA,2012,EJ Index,America,South America,Federative Republic of Brazil,0.6267409963617109
102,BRA,2017,EJ Index,America,South America,Federative Republic of Brazil,0.635723442411252
103,BRA,2022,EJ Index,America,South America,Federative Republic of Brazil,0.6425549088873015
104,BRB,2007,EJ Index,America,Caribbean,Barbados,0.7656892435574749
105,BRB,2012,EJ Index,America,Caribbean,Barbados,0.7698029464741973
106,BRB,2017,EJ Index,America,Caribbean,Barbados,0.6988084226147051
107,BRB,2022,EJ Index,America,Caribbean,Barbados,0.6988513160933612
108,BRN,2007,EJ Index,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.6053609623753806
109,BRN,2012,EJ Index,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.6045772540900569
110,BRN,2017,EJ Index,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.6124370487562484
111,BRN,2022,EJ Index,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.602002826497111
112,BTN,2007,EJ Index,Asia,Southern Asia,Kingdom of Bhutan,0.5886515253170381
113,BTN,2012,EJ Index,Asia,Southern Asia,Kingdom of Bhutan,0.5925628976890919
114,BTN,2017,EJ Index,Asia,Southern Asia,Kingdom of Bhutan,0.6054332144632333
115,BTN,2022,EJ Index,Asia,Southern Asia,Kingdom of Bhutan,0.6204377555770241
116,BWA,2007,EJ Index,Africa,Southern Africa,Republic of Botswana,0.6087722683170982
117,BWA,2012,EJ Index,Africa,Southern Africa,Republic of Botswana,0.6088016074454359
118,BWA,2017,EJ Index,Africa,Southern Africa,Republic of Botswana,0.6107780567712807
119,BWA,2022,EJ Index,Africa,Southern Africa,Republic of Botswana,0.6273970362381455
120,CAF,2007,EJ Index,Africa,Middle Africa,Central African Republic,0.4500180765349413
121,CAF,2012,EJ Index,Africa,Middle Africa,Central African Republic,0.45742806896082017
122,CAF,2017,EJ Index,Africa,Middle Africa,Central African Republic,0.46270757914790683
123,CAF,2022,EJ Index,Africa,Middle Africa,Central African Republic,0.4799671002323801
124,CAN,2007,EJ Index,America,Northern America,Canada,0.812355478968927
125,CAN,2012,EJ Index,America,Northern America,Canada,0.8145711163618106
126,CAN,2017,EJ Index,America,Northern America,Canada,0.8134739323699628
127,CAN,2022,EJ Index,America,Northern America,Canada,0.8212635139544974
128,CHE,2007,EJ Index,Europe,Western Europe,Swiss Confederation,0.841922166055607
129,CHE,2012,EJ Index,Europe,Western Europe,Swiss Confederation,0.8558677734827931
