Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Education Index,0.17881034659293515,0.3811981338777778,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Education Index,0.17881034659293515,0.3811981338777778,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Education Index,0.17881034659293515,0.3811981338777778,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Education Index,0.17881034659293515,0.3811981338777778,,United Nations Development Programme (UNDP),Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Education Index,0.37686259913535486,0.5327986089222222,,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2012,Education Index,0.37686259913535486,0.5327986089222222,,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2017,Education Index,0.37686259913535486,0.5327986089222222,,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2022,Education Index,0.37686259913535486,0.5327986089222222,,United Nations Development Programme (UNDP),Africa,Middle Africa,Republic of Angola
ALB,2007,Education Index,0.6472926717557245,0.7398011900555554,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2012,Education Index,0.6472926717557245,0.7398011900555554,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2017,Education Index,0.6472926717557245,0.7398011900555554,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2022,Education Index,0.6472926717557245,0.7398011900555554,,United Nations Development Programme (UNDP),Europe,Southern Europe,Republic of Albania
AND,2007,Education Index,0.6504521762743619,0.7422196547777777,,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2012,Education Index,0.6504521762743619,0.7422196547777777,,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2017,Education Index,0.6504521762743619,0.7422196547777777,,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2022,Education Index,0.6504521762743619,0.7422196547777777,,United Nations Development Programme (UNDP),Europe,Southern Europe,Principality of Andorra
ARE,2007,Education Index,0.8615364090376563,0.9037955497777778,,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2012,Education Index,0.8615364090376563,0.9037955497777778,,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2017,Education Index,0.8615364090376563,0.9037955497777778,,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2022,Education Index,0.8615364090376563,0.9037955497777778,,United Nations Development Programme (UNDP),Asia,Western Asia,United Arab Emirates
ARG,2007,Education Index,0.854850705821638,0.8986779317222222,,Estimated,America,South America,Argentine Republic
ARG,2012,Education Index,0.854850705821638,0.8986779317222222,,Estimated,America,South America,Argentine Republic
ARG,2017,Education Index,0.854850705821638,0.8986779317222222,,Estimated,America,South America,Argentine Republic
ARG,2022,Education Index,0.854850705821638,0.8986779317222222,,United Nations Development Programme (UNDP),America,South America,Argentine Republic
ARM,2007,Education Index,0.696977141531422,0.7778325132222222,,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2012,Education Index,0.696977141531422,0.7778325132222222,,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2017,Education Index,0.696977141531422,0.7778325132222222,,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2022,Education Index,0.696977141531422,0.7778325132222222,,United Nations Development Programme (UNDP),Asia,Western Asia,Republic of Armenia
ASM,2007,Education Index,0.6239155284964518,0.7219069930555556,,Estimated,Oceania,Polynesia,American Samoa
ASM,2012,Education Index,0.6239155284964518,0.7219069930555556,,Estimated,Oceania,Polynesia,American Samoa
ASM,2017,Education Index,0.6239155284964518,0.7219069930555556,,Estimated,Oceania,Polynesia,American Samoa
ASM,2022,Education Index,0.6239155284964518,0.7219069930555556,,Estimated,Oceania,Polynesia,American Samoa
ATG,2007,Education Index,0.7029950747829078,0.7824389821111111,,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2012,Education Index,0.7029950747829078,0.7824389821111111,,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2017,Education Index,0.7029950747829078,0.7824389821111111,,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2022,Education Index,0.7029950747829078,0.7824389821111111,,United Nations Development Programme (UNDP),America,Caribbean,Antigua and Barbuda
AUS,2007,Education Index,1.0,1.0097834691111112,,Estimated,Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2012,Education Index,1.0,1.0097834691111112,,Estimated,Oceania,Australia and New Zealand,Commonwealth of Australia
