Region,Year,Indicator,Value,continent,UNregion,name_official,Normalized
AFG,2007,Educational Index,0.3811981338777778,Asia,Southern Asia,Islamic Republic of Afghanistan,0.17881034659293515
AFG,2012,Educational Index,0.3811981338777778,Asia,Southern Asia,Islamic Republic of Afghanistan,0.17881034659293515
AFG,2017,Educational Index,0.3811981338777778,Asia,Southern Asia,Islamic Republic of Afghanistan,0.17881034659293515
AFG,2022,Educational Index,0.3811981338777778,Asia,Southern Asia,Islamic Republic of Afghanistan,0.17881034659293515
AGO,2007,Educational Index,0.5327986089222222,Africa,Middle Africa,Republic of Angola,0.37686259913535486
AGO,2012,Educational Index,0.5327986089222222,Africa,Middle Africa,Republic of Angola,0.37686259913535486
AGO,2017,Educational Index,0.5327986089222222,Africa,Middle Africa,Republic of Angola,0.37686259913535486
AGO,2022,Educational Index,0.5327986089222222,Africa,Middle Africa,Republic of Angola,0.37686259913535486
ALB,2007,Educational Index,0.7398011900555554,Europe,Southern Europe,Republic of Albania,0.6472926717557245
ALB,2012,Educational Index,0.7398011900555554,Europe,Southern Europe,Republic of Albania,0.6472926717557245
ALB,2017,Educational Index,0.7398011900555554,Europe,Southern Europe,Republic of Albania,0.6472926717557245
ALB,2022,Educational Index,0.7398011900555554,Europe,Southern Europe,Republic of Albania,0.6472926717557245
AND,2007,Educational Index,0.7422196547777777,Europe,Southern Europe,Principality of Andorra,0.6504521762743619
AND,2012,Educational Index,0.7422196547777777,Europe,Southern Europe,Principality of Andorra,0.6504521762743619
AND,2017,Educational Index,0.7422196547777777,Europe,Southern Europe,Principality of Andorra,0.6504521762743619
AND,2022,Educational Index,0.7422196547777777,Europe,Southern Europe,Principality of Andorra,0.6504521762743619
ARE,2007,Educational Index,0.9037955497777778,Asia,Western Asia,United Arab Emirates,0.8615364090376563
ARE,2012,Educational Index,0.9037955497777778,Asia,Western Asia,United Arab Emirates,0.8615364090376563
ARE,2017,Educational Index,0.9037955497777778,Asia,Western Asia,United Arab Emirates,0.8615364090376563
ARE,2022,Educational Index,0.9037955497777778,Asia,Western Asia,United Arab Emirates,0.8615364090376563
ARG,2007,Educational Index,0.8986779317222222,America,South America,Argentine Republic,0.854850705821638
ARG,2012,Educational Index,0.8986779317222222,America,South America,Argentine Republic,0.854850705821638
ARG,2017,Educational Index,0.8986779317222222,America,South America,Argentine Republic,0.854850705821638
ARG,2022,Educational Index,0.8986779317222222,America,South America,Argentine Republic,0.854850705821638
ARM,2007,Educational Index,0.7778325132222222,Asia,Western Asia,Republic of Armenia,0.696977141531422
ARM,2012,Educational Index,0.7778325132222222,Asia,Western Asia,Republic of Armenia,0.696977141531422
ARM,2017,Educational Index,0.7778325132222222,Asia,Western Asia,Republic of Armenia,0.696977141531422
ARM,2022,Educational Index,0.7778325132222222,Asia,Western Asia,Republic of Armenia,0.696977141531422
ASM,2007,Educational Index,0.7219069930555556,Oceania,Polynesia,American Samoa,0.6239155284964518
ASM,2012,Educational Index,0.7219069930555556,Oceania,Polynesia,American Samoa,0.6239155284964518
ASM,2017,Educational Index,0.7219069930555556,Oceania,Polynesia,American Samoa,0.6239155284964518
ASM,2022,Educational Index,0.7219069930555556,Oceania,Polynesia,American Samoa,0.6239155284964518
ATG,2007,Educational Index,0.7824389821111111,America,Caribbean,Antigua and Barbuda,0.7029950747829078
ATG,2012,Educational Index,0.7824389821111111,America,Caribbean,Antigua and Barbuda,0.7029950747829078
ATG,2017,Educational Index,0.7824389821111111,America,Caribbean,Antigua and Barbuda,0.7029950747829078
ATG,2022,Educational Index,0.7824389821111111,America,Caribbean,Antigua and Barbuda,0.7029950747829078
AUS,2007,Educational Index,1.0097834691111112,Oceania,Australia and New Zealand,Commonwealth of Australia,1.0
AUS,2012,Educational Index,1.0097834691111112,Oceania,Australia and New Zealand,Commonwealth of Australia,1.0
AUS,2017,Educational Index,1.0097834691111112,Oceania,Australia and New Zealand,Commonwealth of Australia,1.0
AUS,2022,Educational Index,1.0097834691111112,Oceania,Australia and New Zealand,Commonwealth of Australia,1.0
AUT,2007,Educational Index,0.8648421292777777,Europe,Western Europe,Republic of Austria,0.810647302839306
AUT,2012,Educational Index,0.8648421292777777,Europe,Western Europe,Republic of Austria,0.810647302839306
AUT,2017,Educational Index,0.8648421292777777,Europe,Western Europe,Republic of Austria,0.810647302839306
AUT,2022,Educational Index,0.8648421292777777,Europe,Western Europe,Republic of Austria,0.810647302839306
AZE,2007,Educational Index,0.7049440645555556,Asia,Western Asia,Republic of Azerbaijan,0.6017550029561717
AZE,2012,Educational Index,0.7049440645555556,Asia,Western Asia,Republic of Azerbaijan,0.6017550029561717
AZE,2017,Educational Index,0.7049440645555556,Asia,Western Asia,Republic of Azerbaijan,0.6017550029561717
AZE,2022,Educational Index,0.7049440645555556,Asia,Western Asia,Republic of Azerbaijan,0.6017550029561717
BDI,2007,Educational Index,0.3870177130722222,Africa,Eastern Africa,Republic of Burundi,0.18641309828596792
BDI,2012,Educational Index,0.3870177130722222,Africa,Eastern Africa,Republic of Burundi,0.18641309828596792
BDI,2017,Educational Index,0.3870177130722222,Africa,Eastern Africa,Republic of Burundi,0.18641309828596792
BDI,2022,Educational Index,0.3870177130722222,Africa,Eastern Africa,Republic of Burundi,0.18641309828596792
BEL,2007,Educational Index,0.9438898116111111,Europe,Western Europe,Kingdom of Belgium,0.9139159208286929
BEL,2012,Educational Index,0.9438898116111111,Europe,Western Europe,Kingdom of Belgium,0.9139159208286929
BEL,2017,Educational Index,0.9438898116111111,Europe,Western Europe,Kingdom of Belgium,0.9139159208286929
BEL,2022,Educational Index,0.9438898116111111,Europe,Western Europe,Kingdom of Belgium,0.9139159208286929
BEN,2007,Educational Index,0.3907581652777778,Africa,Western Africa,Republic of Benin,0.19129965939087448
BEN,2012,Educational Index,0.3907581652777778,Africa,Western Africa,Republic of Benin,0.19129965939087448
BEN,2017,Educational Index,0.3907581652777778,Africa,Western Africa,Republic of Benin,0.19129965939087448
BEN,2022,Educational Index,0.3907581652777778,Africa,Western Africa,Republic of Benin,0.19129965939087448
BFA,2007,Educational Index,0.3020550736333333,Africa,Western Africa,Burkina Faso,0.07541712602474493
BFA,2012,Educational Index,0.3020550736333333,Africa,Western Africa,Burkina Faso,0.07541712602474493
BFA,2017,Educational Index,0.3020550736333333,Africa,Western Africa,Burkina Faso,0.07541712602474493
BFA,2022,Educational Index,0.3020550736333333,Africa,Western Africa,Burkina Faso,0.07541712602474493
BGD,2007,Educational Index,0.5778111616777777,Asia,Southern Asia,People's Republic of Bangladesh,0.4356674113452686
BGD,2012,Educational Index,0.5778111616777777,Asia,Southern Asia,People's Republic of Bangladesh,0.4356674113452686
BGD,2017,Educational Index,0.5778111616777777,Asia,Southern Asia,People's Republic of Bangladesh,0.4356674113452686
BGD,2022,Educational Index,0.5778111616777777,Asia,Southern Asia,People's Republic of Bangladesh,0.4356674113452686
BGR,2007,Educational Index,0.7656623891666667,Europe,Eastern Europe,Republic of Bulgaria,0.6810779797232757
BGR,2012,Educational Index,0.7656623891666667,Europe,Eastern Europe,Republic of Bulgaria,0.6810779797232757
BGR,2017,Educational Index,0.7656623891666667,Europe,Eastern Europe,Republic of Bulgaria,0.6810779797232757
BGR,2022,Educational Index,0.7656623891666667,Europe,Eastern Europe,Republic of Bulgaria,0.6810779797232757
BHR,2007,Educational Index,0.8209885702777778,Asia,Western Asia,Kingdom of Bahrain,0.7533566107131393
BHR,2012,Educational Index,0.8209885702777778,Asia,Western Asia,Kingdom of Bahrain,0.7533566107131393
BHR,2017,Educational Index,0.8209885702777778,Asia,Western Asia,Kingdom of Bahrain,0.7533566107131393
BHR,2022,Educational Index,0.8209885702777778,Asia,Western Asia,Kingdom of Bahrain,0.7533566107131393
BHS,2007,Educational Index,0.7547032677222223,America,Caribbean,Commonwealth of the Bahamas,0.6667608828453019
BHS,2012,Educational Index,0.7547032677222223,America,Caribbean,Commonwealth of the Bahamas,0.6667608828453019
BHS,2017,Educational Index,0.7547032677222223,America,Caribbean,Commonwealth of the Bahamas,0.6667608828453019
BHS,2022,Educational Index,0.7547032677222223,America,Caribbean,Commonwealth of the Bahamas,0.6667608828453019
BIH,2007,Educational Index,0.7200178676666666,Europe,Southern Europe,Bosnia and Herzegovina,0.621447557743096
BIH,2012,Educational Index,0.7200178676666666,Europe,Southern Europe,Bosnia and Herzegovina,0.621447557743096
BIH,2017,Educational Index,0.7200178676666666,Europe,Southern Europe,Bosnia and Herzegovina,0.621447557743096
BIH,2022,Educational Index,0.7200178676666666,Europe,Southern Europe,Bosnia and Herzegovina,0.621447557743096
BLR,2007,Educational Index,0.7964166536111111,Europe,Eastern Europe,Republic of Belarus,0.7212556331687665
BLR,2012,Educational Index,0.7964166536111111,Europe,Eastern Europe,Republic of Belarus,0.7212556331687665
BLR,2017,Educational Index,0.7964166536111111,Europe,Eastern Europe,Republic of Belarus,0.7212556331687665
BLR,2022,Educational Index,0.7964166536111111,Europe,Eastern Europe,Republic of Belarus,0.7212556331687665
BLZ,2007,Educational Index,0.6401024977666667,America,Central America,Belize,0.5170453847498018
BLZ,2012,Educational Index,0.6401024977666667,America,Central America,Belize,0.5170453847498018
BLZ,2017,Educational Index,0.6401024977666667,America,Central America,Belize,0.5170453847498018
BLZ,2022,Educational Index,0.6401024977666667,America,Central America,Belize,0.5170453847498018
BMU,2007,Educational Index,0.9070348576388889,America,Northern America,Bermuda,0.8657682705696426
BMU,2012,Educational Index,0.9070348576388889,America,Northern America,Bermuda,0.8657682705696426
BMU,2017,Educational Index,0.9070348576388889,America,Northern America,Bermuda,0.8657682705696426
BMU,2022,Educational Index,0.9070348576388889,America,Northern America,Bermuda,0.8657682705696426
BOL,2007,Educational Index,0.7448816226999999,America,South America,Plurinational State of Bolivia,0.6539297956092434
BOL,2012,Educational Index,0.7448816226999999,America,South America,Plurinational State of Bolivia,0.6539297956092434
BOL,2017,Educational Index,0.7448816226999999,America,South America,Plurinational State of Bolivia,0.6539297956092434
BOL,2022,Educational Index,0.7448816226999999,America,South America,Plurinational State of Bolivia,0.6539297956092434
BRA,2007,Educational Index,0.7086880379333333,America,South America,Federative Republic of Brazil,0.6066461641527995
BRA,2012,Educational Index,0.7086880379333333,America,South America,Federative Republic of Brazil,0.6066461641527995
BRA,2017,Educational Index,0.7086880379333333,America,South America,Federative Republic of Brazil,0.6066461641527995
BRA,2022,Educational Index,0.7086880379333333,America,South America,Federative Republic of Brazil,0.6066461641527995
BRB,2007,Educational Index,0.7889213246111111,America,Caribbean,Barbados,0.7114636665435872
BRB,2012,Educational Index,0.7889213246111111,America,Caribbean,Barbados,0.7114636665435872
BRB,2017,Educational Index,0.7889213246111111,America,Caribbean,Barbados,0.7114636665435872
BRB,2022,Educational Index,0.7889213246111111,America,Caribbean,Barbados,0.7114636665435872
BRN,2007,Educational Index,0.687850551111111,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.5794238800454823
BRN,2012,Educational Index,0.687850551111111,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.5794238800454823
BRN,2017,Educational Index,0.687850551111111,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.5794238800454823
BRN,2022,Educational Index,0.687850551111111,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.5794238800454823
