Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Energy Perspective,0.6247898528998042,0.5264769550694046,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Energy Perspective,0.633146531047207,0.5351334612342282,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Energy Perspective,0.6741318012796408,0.5783052944434312,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Energy Perspective,0.482602986633818,0.3864491491927601,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Energy Perspective,0.5542314921210617,0.4553060928507239,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Africa,Middle Africa,Republic of Angola
AGO,2012,Energy Perspective,0.5541858191668554,0.4552611151828962,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Africa,Middle Africa,Republic of Angola
AGO,2017,Energy Perspective,0.7784702569785226,0.69376952480435,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Africa,Middle Africa,Republic of Angola
AGO,2022,Energy Perspective,0.26572662138493836,0.19720263188824597,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Africa,Middle Africa,Republic of Angola
ALB,2007,Energy Perspective,0.4999358174812724,0.40280650268080936,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Europe,Southern Europe,Republic of Albania
ALB,2012,Energy Perspective,0.5030650179042236,0.40578009368456014,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Europe,Southern Europe,Republic of Albania
ALB,2017,Energy Perspective,0.5386745933880525,0.44006614024591467,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Europe,Southern Europe,Republic of Albania
ALB,2022,Energy Perspective,0.5640165287741775,0.4649742926946462,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Europe,Southern Europe,Republic of Albania
AND,2007,Energy Perspective,0.5785120000506355,0.47941486029670566,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Europe,Southern Europe,Principality of Andorra
AND,2012,Energy Perspective,0.5912763438789514,0.49224867090038865,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Europe,Southern Europe,Principality of Andorra
AND,2017,Energy Perspective,0.5451478136193756,0.44638799548356634,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Europe,Southern Europe,Principality of Andorra
AND,2022,Energy Perspective,0.5333502663122999,0.43488702912946264,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Europe,Southern Europe,Principality of Andorra
ARE,2007,Energy Perspective,0.5903984825572147,0.4913624778898573,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Western Asia,United Arab Emirates
ARE,2012,Energy Perspective,0.6041429792313954,0.5052980065295378,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Western Asia,United Arab Emirates
ARE,2017,Energy Perspective,0.6294229841976983,0.5312702707307752,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Western Asia,United Arab Emirates
ARE,2022,Energy Perspective,0.612909991477418,0.5142548125263726,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Western Asia,United Arab Emirates
ARG,2007,Energy Perspective,0.32031743030567683,0.2422556339854952,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,America,South America,Argentine Republic
ARG,2012,Energy Perspective,0.3236733972097708,0.24507994201966965,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,America,South America,Argentine Republic
ARG,2017,Energy Perspective,0.6108977283548682,0.5121942857034251,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,America,South America,Argentine Republic
ARG,2022,Energy Perspective,0.4317759378712632,0.3395740894058261,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,America,South America,Argentine Republic
ARM,2007,Energy Perspective,0.6130889630923052,0.5144382126444651,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Western Asia,Republic of Armenia
ARM,2012,Energy Perspective,0.6642837812042741,0.5678223362888791,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Western Asia,Republic of Armenia
ARM,2017,Energy Perspective,0.6667769464593846,0.5704696445034216,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Western Asia,Republic of Armenia
ARM,2022,Energy Perspective,0.6312751080701875,0.533190637824892,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Asia,Western Asia,Republic of Armenia
ASM,2007,Energy Perspective,0.716327401082592,0.6240207876376072,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Oceania,Polynesia,American Samoa
ASM,2012,Energy Perspective,0.5574398940732802,0.4584691340242441,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Oceania,Polynesia,American Samoa
ASM,2017,Energy Perspective,0.7650405321838414,0.6784466684252782,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Oceania,Polynesia,American Samoa
ASM,2022,Energy Perspective,0.8315542017951437,0.7557180941431714,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Oceania,Polynesia,American Samoa
ATG,2007,Energy Perspective,0.503079773932059,0.4057941308434652,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,America,Caribbean,Antigua and Barbuda
ATG,2012,Energy Perspective,0.503079773932059,0.4057941308434652,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,America,Caribbean,Antigua and Barbuda
ATG,2017,Energy Perspective,0.6378330972707942,0.5400096434071424,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,America,Caribbean,Antigua and Barbuda
ATG,2022,Energy Perspective,0.4959886266004976,0.39906456788946165,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,America,Caribbean,Antigua and Barbuda
AUS,2007,Energy Perspective,0.5963171835421074,0.4973475556614157,,Calculated based in Fossil Fuel Subcidies and Renewable Investments,Oceania,Australia and New Zealand,Commonwealth of Australia
