Region,Year,Indicator,Value,continent,UNregion,name_official,Normalized
AFG,2007,GHG Emission per capita,0.844856,Asia,Southern Asia,Islamic Republic of Afghanistan,0.9925676527277426
AFG,2012,GHG Emission per capita,1.1042323,Asia,Southern Asia,Islamic Republic of Afghanistan,0.989757829739155
AFG,2017,GHG Emission per capita,0.95788854,Asia,Southern Asia,Islamic Republic of Afghanistan,0.9913431714264425
AFG,2022,GHG Emission per capita,0.89023536,Asia,Southern Asia,Islamic Republic of Afghanistan,0.9920760582029715
AGO,2007,GHG Emission per capita,9.367951,Africa,Middle Africa,Republic of Angola,0.9002369800143332
AGO,2012,GHG Emission per capita,9.354831,Africa,Middle Africa,Republic of Angola,0.900379108950594
AGO,2017,GHG Emission per capita,7.1116853,Africa,Middle Africa,Republic of Angola,0.9246791022599719
AGO,2022,GHG Emission per capita,5.115904,Africa,Middle Africa,Republic of Angola,0.9462993974717281
ALB,2007,GHG Emission per capita,3.010563,Europe,Southern Europe,Republic of Albania,0.9691065527153481
ALB,2012,GHG Emission per capita,3.167834,Europe,Southern Europe,Republic of Albania,0.9674028362569125
ALB,2017,GHG Emission per capita,3.3099167,Europe,Southern Europe,Republic of Albania,0.9658636546248953
ALB,2022,GHG Emission per capita,2.826774,Europe,Southern Europe,Republic of Albania,0.9710975386198024
AND,2007,GHG Emission per capita,8.879694,Europe,Southern Europe,Principality of Andorra,0.9055262672118867
AND,2012,GHG Emission per capita,8.677611,Europe,Southern Europe,Principality of Andorra,0.90771543198524
AND,2017,GHG Emission per capita,7.9852867,Europe,Southern Europe,Principality of Andorra,0.9152153798744562
AND,2022,GHG Emission per capita,6.0378323,Europe,Southern Europe,Principality of Andorra,0.9363121498659546
ARE,2007,GHG Emission per capita,29.728262,Asia,Western Asia,United Arab Emirates,0.6796737677910472
ARE,2012,GHG Emission per capita,29.48253,Asia,Western Asia,United Arab Emirates,0.6823357821024225
ARE,2017,GHG Emission per capita,29.088024,Asia,Western Asia,United Arab Emirates,0.6866094648866078
ARE,2022,GHG Emission per capita,31.665464,Asia,Western Asia,United Arab Emirates,0.6586880620301983
ARG,2007,GHG Emission per capita,13.428146,America,South America,Argentine Republic,0.8562528949258037
ARG,2012,GHG Emission per capita,12.25391,America,South America,Argentine Republic,0.8689733913891544
ARG,2017,GHG Emission per capita,9.679743,America,South America,Argentine Republic,0.8968593378424862
ARG,2022,GHG Emission per capita,8.527892,America,South America,Argentine Republic,0.9093373376413402
ARM,2007,GHG Emission per capita,3.2051976,Asia,Western Asia,Republic of Armenia,0.9669980764457177
ARM,2012,GHG Emission per capita,3.273628,Asia,Western Asia,Republic of Armenia,0.9662567700463349
ARM,2017,GHG Emission per capita,3.2423508,Asia,Western Asia,Republic of Armenia,0.9665955958973423
ARM,2022,GHG Emission per capita,3.472726,Asia,Western Asia,Republic of Armenia,0.9640999417725806
