Region,Year,Indicator,Value,continent,UNregion,name_official,Normalized
AFG,2007,Mortality,643.49,Asia,Southern Asia,Islamic Republic of Afghanistan,0.07518133266636264
AFG,2012,Mortality,643.49,Asia,Southern Asia,Islamic Republic of Afghanistan,0.07518133266636264
AFG,2017,Mortality,643.49,Asia,Southern Asia,Islamic Republic of Afghanistan,0.07518133266636264
AFG,2022,Mortality,538.16,Asia,Southern Asia,Islamic Republic of Afghanistan,0.23014903853227214
AGO,2007,Mortality,363.97,Africa,Middle Africa,Republic of Angola,0.4864276361282349
AGO,2012,Mortality,363.97,Africa,Middle Africa,Republic of Angola,0.4864276361282349
AGO,2017,Mortality,363.97,Africa,Middle Africa,Republic of Angola,0.4864276361282349
AGO,2022,Mortality,296.37,Africa,Middle Africa,Republic of Angola,0.5858847415733643
ALB,2007,Mortality,178.17000000000002,Europe,Southern Europe,Republic of Albania,0.759787550206712
ALB,2012,Mortality,178.17000000000002,Europe,Southern Europe,Republic of Albania,0.759787550206712
ALB,2017,Mortality,178.17000000000002,Europe,Southern Europe,Republic of Albania,0.759787550206712
ALB,2022,Mortality,184.03,Europe,Southern Europe,Republic of Albania,0.751165972722859
AND,2007,Mortality,127.645,Europe,Southern Europe,Principality of Andorra,0.8341229089732084
AND,2012,Mortality,127.645,Europe,Southern Europe,Principality of Andorra,0.8341229089732084
AND,2017,Mortality,127.645,Europe,Southern Europe,Principality of Andorra,0.8341229089732084
AND,2022,Mortality,103.1675,Europe,Southern Europe,Principality of Andorra,0.8701356500757698
ARE,2007,Mortality,153.95999999999998,Asia,Western Asia,United Arab Emirates,0.7954067295384661
ARE,2012,Mortality,153.95999999999998,Asia,Western Asia,United Arab Emirates,0.7954067295384661
ARE,2017,Mortality,153.95999999999998,Asia,Western Asia,United Arab Emirates,0.7954067295384661
ARE,2022,Mortality,140.09,Asia,Western Asia,United Arab Emirates,0.815813091262193
ARG,2007,Mortality,71.61,America,South America,Argentine Republic,0.9165649045888566
ARG,2012,Mortality,71.61,America,South America,Argentine Republic,0.9165649045888566
ARG,2017,Mortality,71.61,America,South America,Argentine Republic,0.9165649045888566
ARG,2022,Mortality,59.6,America,South America,Argentine Republic,0.9342347246538862
ARM,2007,Mortality,185.13,Asia,Western Asia,Republic of Armenia,0.7495475878709411
ARM,2012,Mortality,185.13,Asia,Western Asia,Republic of Armenia,0.7495475878709411
ARM,2017,Mortality,185.13,Asia,Western Asia,Republic of Armenia,0.7495475878709411
ARM,2022,Mortality,148.5,Asia,Western Asia,Republic of Armenia,0.8034398034398034
ASM,2007,Mortality,237.845,Oceania,Polynesia,American Samoa,0.671990171990172
ASM,2012,Mortality,237.845,Oceania,Polynesia,American Samoa,0.671990171990172
ASM,2017,Mortality,237.845,Oceania,Polynesia,American Samoa,0.671990171990172
ASM,2022,Mortality,197.62,Oceania,Polynesia,American Samoa,0.7311715635068928
ATG,2007,Mortality,43.04,America,Caribbean,Antigua and Barbuda,0.9585987729700305
ATG,2012,Mortality,43.04,America,Caribbean,Antigua and Barbuda,0.9585987729700305
ATG,2017,Mortality,43.04,America,Caribbean,Antigua and Barbuda,0.9585987729700305
ATG,2022,Mortality,38.56,America,Caribbean,Antigua and Barbuda,0.9651900130942046
AUS,2007,Mortality,25.869999999999997,Oceania,Australia and New Zealand,Commonwealth of Australia,0.9838602892495107
AUS,2012,Mortality,25.869999999999997,Oceania,Australia and New Zealand,Commonwealth of Australia,0.9838602892495107
AUS,2017,Mortality,25.869999999999997,Oceania,Australia and New Zealand,Commonwealth of Australia,0.9838602892495107
AUS,2022,Mortality,19.61,Oceania,Australia and New Zealand,Commonwealth of Australia,0.9930703703158792
AUT,2007,Mortality,50.089999999999996,Europe,Western Europe,Republic of Austria,0.9482263973281937
AUT,2012,Mortality,50.089999999999996,Europe,Western Europe,Republic of Austria,0.9482263973281937
AUT,2017,Mortality,50.089999999999996,Europe,Western Europe,Republic of Austria,0.9482263973281937
AUT,2022,Mortality,34.97,Europe,Western Europe,Republic of Austria,0.9704718327472818
AZE,2007,Mortality,301.61,Asia,Western Asia,Republic of Azerbaijan,0.5781753446424105
AZE,2012,Mortality,301.61,Asia,Western Asia,Republic of Azerbaijan,0.5781753446424105
AZE,2017,Mortality,301.61,Asia,Western Asia,Republic of Azerbaijan,0.5781753446424105
AZE,2022,Mortality,243.78,Asia,Western Asia,Republic of Azerbaijan,0.6632582500845974
BDI,2007,Mortality,500.01,Africa,Eastern Africa,Republic of Burundi,0.2862775677146935
BDI,2012,Mortality,500.01,Africa,Eastern Africa,Republic of Burundi,0.2862775677146935
BDI,2017,Mortality,500.01,Africa,Eastern Africa,Republic of Burundi,0.2862775677146935
BDI,2022,Mortality,418.62,Africa,Eastern Africa,Republic of Burundi,0.4060233341670467
BEL,2007,Mortality,47.18,Europe,Western Europe,Kingdom of Belgium,0.9525077608909944
BEL,2012,Mortality,47.18,Europe,Western Europe,Kingdom of Belgium,0.9525077608909944
BEL,2017,Mortality,47.18,Europe,Western Europe,Kingdom of Belgium,0.9525077608909944
BEL,2022,Mortality,30.7,Europe,Western Europe,Kingdom of Belgium,0.9767541084906354
BEN,2007,Mortality,459.58000000000004,Africa,Western Africa,Republic of Benin,0.3457605673174535
BEN,2012,Mortality,459.58000000000004,Africa,Western Africa,Republic of Benin,0.3457605673174535
BEN,2017,Mortality,459.58000000000004,Africa,Western Africa,Republic of Benin,0.3457605673174535
BEN,2022,Mortality,413.40999999999997,Africa,Western Africa,Republic of Benin,0.41368859332931196
BFA,2007,Mortality,460.34999999999997,Africa,Western Africa,Burkina Faso,0.34462769792111114
BFA,2012,Mortality,460.34999999999997,Africa,Western Africa,Burkina Faso,0.34462769792111114
BFA,2017,Mortality,460.34999999999997,Africa,Western Africa,Burkina Faso,0.34462769792111114
BFA,2022,Mortality,413.42,Africa,Western Africa,Burkina Faso,0.413673880739749
BGD,2007,Mortality,371.19,Asia,Southern Asia,People's Republic of Bangladesh,0.4758051464638291
BGD,2012,Mortality,371.19,Asia,Southern Asia,People's Republic of Bangladesh,0.4758051464638291
BGD,2017,Mortality,371.19,Asia,Southern Asia,People's Republic of Bangladesh,0.4758051464638291
BGD,2022,Mortality,288.61,Asia,Southern Asia,People's Republic of Bangladesh,0.5973017110741662
BGR,2007,Mortality,157.49222222222224,Europe,Eastern Europe,Republic of Bulgaria,0.7902099159584188
BGR,2012,Mortality,157.49222222222224,Europe,Eastern Europe,Republic of Bulgaria,0.7902099159584188
BGR,2017,Mortality,157.49222222222224,Europe,Eastern Europe,Republic of Bulgaria,0.7902099159584188
BGR,2022,Mortality,108.11555555555555,Europe,Eastern Europe,Republic of Bulgaria,0.8628557790234438
BHR,2007,Mortality,179.56,Asia,Western Asia,Kingdom of Bahrain,0.7577425002574703
BHR,2012,Mortality,179.56,Asia,Western Asia,Kingdom of Bahrain,0.7577425002574703
BHR,2017,Mortality,179.56,Asia,Western Asia,Kingdom of Bahrain,0.7577425002574703
BHR,2022,Mortality,136.31,Asia,Western Asia,Kingdom of Bahrain,0.821374450116965
BHS,2007,Mortality,18.369999999999997,America,Caribbean,Commonwealth of the Bahamas,0.9948947314216775
BHS,2012,Mortality,18.369999999999997,America,Caribbean,Commonwealth of the Bahamas,0.9948947314216775
BHS,2017,Mortality,18.369999999999997,America,Caribbean,Commonwealth of the Bahamas,0.9948947314216775
BHS,2022,Mortality,20.839,America,Caribbean,Commonwealth of the Bahamas,0.9912621930586001
BIH,2007,Mortality,253.8,Europe,Southern Europe,Bosnia and Herzegovina,0.6485162353425826
BIH,2012,Mortality,253.8,Europe,Southern Europe,Bosnia and Herzegovina,0.6485162353425826
BIH,2017,Mortality,253.8,Europe,Southern Europe,Bosnia and Herzegovina,0.6485162353425826
BIH,2022,Mortality,230.83,Europe,Southern Europe,Bosnia and Herzegovina,0.6823110535685385
BLR,2007,Mortality,201.44,Europe,Eastern Europe,Republic of Belarus,0.7255513542938693
BLR,2012,Mortality,201.44,Europe,Eastern Europe,Republic of Belarus,0.7255513542938693
BLR,2017,Mortality,201.44,Europe,Eastern Europe,Republic of Belarus,0.7255513542938693
BLR,2022,Mortality,139.17,Europe,Eastern Europe,Republic of Belarus,0.8171666495019789
BLZ,2007,Mortality,78.23,America,Central America,Belize,0.9068251702982242
BLZ,2012,Mortality,78.23,America,Central America,Belize,0.9068251702982242
BLZ,2017,Mortality,78.23,America,Central America,Belize,0.9068251702982242
BLZ,2022,Mortality,79.64999999999999,America,Central America,Belize,0.904735982580294
BMU,2007,Mortality,31.295,America,Northern America,Bermuda,0.9758787094116436
BMU,2012,Mortality,31.295,America,Northern America,Bermuda,0.9758787094116436
BMU,2017,Mortality,31.295,America,Northern America,Bermuda,0.9758787094116436
BMU,2022,Mortality,22.33,America,Northern America,Bermuda,0.9890685459547734
BOL,2007,Mortality,189.04,America,South America,Plurinational State of Bolivia,0.7437949653518516
BOL,2012,Mortality,189.04,America,South America,Plurinational State of Bolivia,0.7437949653518516
BOL,2017,Mortality,189.04,America,South America,Plurinational State of Bolivia,0.7437949653518516
BOL,2022,Mortality,152.91,America,South America,Plurinational State of Bolivia,0.7969515514425695
BRA,2007,Mortality,84.8,America,South America,Federative Republic of Brazil,0.8971589989554062
BRA,2012,Mortality,84.8,America,South America,Federative Republic of Brazil,0.8971589989554062
BRA,2017,Mortality,84.8,America,South America,Federative Republic of Brazil,0.8971589989554062
BRA,2022,Mortality,56.94,America,South America,Federative Republic of Brazil,0.9381482734776149
BRB,2007,Mortality,35.120000000000005,America,Caribbean,Barbados,0.9702511439038385
BRB,2012,Mortality,35.120000000000005,America,Caribbean,Barbados,0.9702511439038385
BRB,2017,Mortality,35.120000000000005,America,Caribbean,Barbados,0.9702511439038385
BRB,2022,Mortality,37.67,America,Caribbean,Barbados,0.9664994335653019
BRN,2007,Mortality,53.71,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.9429004399064278
BRN,2012,Mortality,53.71,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.9429004399064278
BRN,2017,Mortality,53.71,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.9429004399064278
BRN,2022,Mortality,39.21,Asia,South-eastern Asia,"Nation of Brunei, Abode of Peace",0.9642336947726169
BTN,2007,Mortality,242.97,Asia,Southern Asia,Kingdom of Bhutan,0.6644499698391914
BTN,2012,Mortality,242.97,Asia,Southern Asia,Kingdom of Bhutan,0.6644499698391914
BTN,2017,Mortality,242.97,Asia,Southern Asia,Kingdom of Bhutan,0.6644499698391914
BTN,2022,Mortality,175.37,Asia,Southern Asia,Kingdom of Bhutan,0.7639070752843208
BWA,2007,Mortality,359.15999999999997,Africa,Southern Africa,Republic of Botswana,0.4935043917079846
BWA,2012,Mortality,359.15999999999997,Africa,Southern Africa,Republic of Botswana,0.4935043917079846
BWA,2017,Mortality,359.15999999999997,Africa,Southern Africa,Republic of Botswana,0.4935043917079846
BWA,2022,Mortality,279.6,Africa,Southern Africa,Republic of Botswana,0.6105577542703291
CAF,2007,Mortality,694.59,Africa,Middle Africa,Central African Republic,0.0
CAF,2012,Mortality,694.59,Africa,Middle Africa,Central African Republic,0.0
CAF,2017,Mortality,694.59,Africa,Middle Africa,Central African Republic,0.0
CAF,2022,Mortality,618.96,Africa,Middle Africa,Central African Republic,0.11127131486412922
CAN,2007,Mortality,24.14,America,Northern America,Canada,0.9864055672438906
CAN,2012,Mortality,24.14,America,Northern America,Canada,0.9864055672438906
CAN,2017,Mortality,24.14,America,Northern America,Canada,0.9864055672438906
CAN,2022,Mortality,16.22,America,Northern America,Canada,0.9980579381776986
CHE,2007,Mortality,32.46,Europe,Western Europe,Swiss Confederation,0.9741646927275669
CHE,2012,Mortality,32.46,Europe,Western Europe,Swiss Confederation,0.9741646927275669
CHE,2017,Mortality,32.46,Europe,Western Europe,Swiss Confederation,0.9741646927275669
CHE,2022,Mortality,20.8,Europe,Western Europe,Swiss Confederation,0.9913195721578956
CHL,2007,Mortality,51.06,America,South America,Republic of Chile,0.9467992761405933
CHL,2012,Mortality,51.06,America,South America,Republic of Chile,0.9467992761405933
CHL,2017,Mortality,51.06,America,South America,Republic of Chile,0.9467992761405933
CHL,2022,Mortality,35.809999999999995,America,South America,Republic of Chile,0.9692359752239992
CHN,2007,Mortality,297.23,Asia,Eastern Asia,People's Republic of China,0.5846194588709559
CHN,2012,Mortality,297.23,Asia,Eastern Asia,People's Republic of China,0.5846194588709559
CHN,2017,Mortality,297.23,Asia,Eastern Asia,People's Republic of China,0.5846194588709559
CHN,2022,Mortality,186.37,Asia,Eastern Asia,People's Republic of China,0.7477232267651429
CIV,2007,Mortality,497.36,Africa,Western Africa,Republic of Côte d'Ivoire,0.290176403948859
CIV,2012,Mortality,497.36,Africa,Western Africa,Republic of Côte d'Ivoire,0.290176403948859
CIV,2017,Mortality,497.36,Africa,Western Africa,Republic of Côte d'Ivoire,0.290176403948859
CIV,2022,Mortality,384.4,Africa,Western Africa,Republic of Côte d'Ivoire,0.45636981565125284
CMR,2007,Mortality,517.01,Africa,Middle Africa,Republic of Cameroon,0.26126616545778225
CMR,2012,Mortality,517.01,Africa,Middle Africa,Republic of Cameroon,0.26126616545778225
CMR,2017,Mortality,517.01,Africa,Middle Africa,Republic of Cameroon,0.26126616545778225
CMR,2022,Mortality,420.42999999999995,Africa,Middle Africa,Republic of Cameroon,0.40336035545616394
COD,2007,Mortality,505.99,Africa,Middle Africa,Democratic Republic of the Congo,0.27747943915608586
COD,2012,Mortality,505.99,Africa,Middle Africa,Democratic Republic of the Congo,0.27747943915608586
COD,2017,Mortality,505.99,Africa,Middle Africa,Democratic Republic of the Congo,0.27747943915608586
COD,2022,Mortality,423.78,Africa,Middle Africa,Democratic Republic of the Congo,0.3984316379525961
COG,2007,Mortality,451.25,Africa,Middle Africa,Republic of the Congo,0.35801615442334006
COG,2012,Mortality,451.25,Africa,Middle Africa,Republic of the Congo,0.35801615442334006
COG,2017,Mortality,451.25,Africa,Middle Africa,Republic of the Congo,0.35801615442334006
COG,2022,Mortality,346.57000000000005,Africa,Middle Africa,Republic of the Congo,0.5120275419676616
COL,2007,Mortality,84.91,America,South America,Republic of Colombia,0.8969971604702144
COL,2012,Mortality,84.91,America,South America,Republic of Colombia,0.8969971604702144
COL,2017,Mortality,84.91,America,South America,Republic of Colombia,0.8969971604702144
COL,2022,Mortality,64.05,America,South America,Republic of Colombia,0.9276876222984007
COM,2007,Mortality,374.42999999999995,Africa,Eastern Africa,Union of the Comoros,0.47103826744545313
COM,2012,Mortality,374.42999999999995,Africa,Eastern Africa,Union of the Comoros,0.47103826744545313
COM,2017,Mortality,374.42999999999995,Africa,Eastern Africa,Union of the Comoros,0.47103826744545313
COM,2022,Mortality,335.0,Africa,Eastern Africa,Union of the Comoros,0.5290500080919243
CPV,2007,Mortality,158.43,Africa,Western Africa,Republic of Cabo Verde,0.7888302020038548
CPV,2012,Mortality,158.43,Africa,Western Africa,Republic of Cabo Verde,0.7888302020038548
CPV,2017,Mortality,158.43,Africa,Western Africa,Republic of Cabo Verde,0.7888302020038548
CPV,2022,Mortality,183.88,Africa,Western Africa,Republic of Cabo Verde,0.7513866615663023
CRI,2007,Mortality,56.66,America,Central America,Republic of Costa Rica,0.9385602259853757
CRI,2012,Mortality,56.66,America,Central America,Republic of Costa Rica,0.9385602259853757
CRI,2017,Mortality,56.66,America,Central America,Republic of Costa Rica,0.9385602259853757
CRI,2022,Mortality,35.730000000000004,America,Central America,Republic of Costa Rica,0.9693536759405023
CUB,2007,Mortality,98.81,America,Caribbean,Republic of Cuba,0.8765466609777985
CUB,2012,Mortality,98.81,America,Caribbean,Republic of Cuba,0.8765466609777985
CUB,2017,Mortality,98.81,America,Caribbean,Republic of Cuba,0.8765466609777985
CUB,2022,Mortality,82.31,America,Caribbean,Republic of Cuba,0.9008224337565653
CUW,2007,Mortality,96.99272727272728,America,Caribbean,Country of Curaçao,0.8792203397538182
CUW,2012,Mortality,96.99272727272728,America,Caribbean,Country of Curaçao,0.8792203397538182
CUW,2017,Mortality,96.99272727272728,America,Caribbean,Country of Curaçao,0.8792203397538182
CUW,2022,Mortality,92.61354545454546,America,Caribbean,Country of Curaçao,0.8856632502250357
CYM,2007,Mortality,96.99272727272728,America,Caribbean,Cayman Islands,0.8792203397538182
CYM,2012,Mortality,96.99272727272728,America,Caribbean,Cayman Islands,0.8792203397538182
CYM,2017,Mortality,96.99272727272728,America,Caribbean,Cayman Islands,0.8792203397538182
CYM,2022,Mortality,92.61354545454546,America,Caribbean,Cayman Islands,0.8856632502250357
CYP,2007,Mortality,51.9,Asia,Western Asia,Republic of Cyprus,0.9455634186173109
CYP,2012,Mortality,51.9,Asia,Western Asia,Republic of Cyprus,0.9455634186173109
CYP,2017,Mortality,51.9,Asia,Western Asia,Republic of Cyprus,0.9455634186173109
CYP,2022,Mortality,31.509999999999998,Asia,Western Asia,Republic of Cyprus,0.9755623887360414
CZE,2007,Mortality,99.3,Europe,Eastern Europe,Czech Republic,0.8758257440892172
CZE,2012,Mortality,99.3,Europe,Eastern Europe,Czech Republic,0.8758257440892172
CZE,2017,Mortality,99.3,Europe,Eastern Europe,Czech Republic,0.8758257440892172
CZE,2022,Mortality,65.06,Europe,Eastern Europe,Czech Republic,0.9262016507525488
DEU,2007,Mortality,49.74,Europe,Western Europe,Federal Republic of Germany,0.9487413379628948
DEU,2012,Mortality,49.74,Europe,Western Europe,Federal Republic of Germany,0.9487413379628948
DEU,2017,Mortality,49.74,Europe,Western Europe,Federal Republic of Germany,0.9487413379628948
DEU,2022,Mortality,29.47,Europe,Western Europe,Federal Republic of Germany,0.9785637570068707
DJI,2007,Mortality,388.97,Africa,Eastern Africa,Republic of Djibouti,0.4496461622210125
DJI,2012,Mortality,388.97,Africa,Eastern Africa,Republic of Djibouti,0.4496461622210125
DJI,2017,Mortality,388.97,Africa,Eastern Africa,Republic of Djibouti,0.4496461622210125
DJI,2022,Mortality,361.03,Africa,Eastern Africa,Republic of Djibouti,0.4907531374597243
DMA,2007,Mortality,96.99272727272728,America,Caribbean,Commonwealth of Dominica,0.8792203397538182
DMA,2012,Mortality,96.99272727272728,America,Caribbean,Commonwealth of Dominica,0.8792203397538182
DMA,2017,Mortality,96.99272727272728,America,Caribbean,Commonwealth of Dominica,0.8792203397538182
DMA,2022,Mortality,92.61354545454546,America,Caribbean,Commonwealth of Dominica,0.8856632502250357
DNK,2007,Mortality,42.68,Europe,Northern Europe,Kingdom of Denmark,0.9591284261942945
DNK,2012,Mortality,42.68,Europe,Northern Europe,Kingdom of Denmark,0.9591284261942945
DNK,2017,Mortality,42.68,Europe,Northern Europe,Kingdom of Denmark,0.9591284261942945
DNK,2022,Mortality,25.79,Europe,Northern Europe,Kingdom of Denmark,0.9839779899660139
DOM,2007,Mortality,82.65,America,Caribbean,Dominican Republic,0.9003222057114273
DOM,2012,Mortality,82.65,America,Caribbean,Dominican Republic,0.9003222057114273
DOM,2017,Mortality,82.65,America,Caribbean,Dominican Republic,0.9003222057114273
