Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Municipal,2.810489408729156e-05,3882.0699999999997,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Municipal,2.810489408729156e-05,3882.0699999999997,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Municipal,2.3368197156403593e-05,3227.7999999999997,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Municipal,2.3368197156403593e-05,3227.7999999999997,,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Municipal,0.0002908970598988329,40181.0,,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2012,Municipal,0.0002908970598988329,40181.0,,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2017,Municipal,0.0002908970598988329,40181.0,,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2022,Municipal,0.0002908970598988329,40181.0,,Estimated,Africa,Middle Africa,Republic of Angola
ALB,2007,Municipal,0.012031010258015808,1661818.1818181819,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2012,Municipal,0.013692184759724337,1891272.7272727273,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2017,Municipal,0.016823669814846832,2323818.1818181816,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2022,Municipal,0.016823669814846832,2323818.1818181816,,Estimated,Europe,Southern Europe,Republic of Albania
AND,2007,Municipal,0.0,0.0,,xx,Europe,Southern Europe,Principality of Andorra
AND,2012,Municipal,0.0,0.0,,xx,Europe,Southern Europe,Principality of Andorra
AND,2017,Municipal,0.0,0.0,,xx,Europe,Southern Europe,Principality of Andorra
AND,2022,Municipal,0.0,0.0,,Estimated,Europe,Southern Europe,Principality of Andorra
ARE,2007,Municipal,0.004972621027323227,686857.7,,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2012,Municipal,0.004972621027323227,686857.7,,xx,Asia,Western Asia,United Arab Emirates
ARE,2017,Municipal,0.009778820933352349,1350728.0,,xx,Asia,Western Asia,United Arab Emirates
ARE,2022,Municipal,0.009778820933352349,1350728.0,,Estimated,Asia,Western Asia,United Arab Emirates
ARG,2007,Municipal,0.0024766832044793266,342099.05,,Estimated,America,South America,Argentine Republic
ARG,2012,Municipal,0.0027726030246846096,382973.8333333333,,Estimated,America,South America,Argentine Republic
ARG,2017,Municipal,0.0027726030246846096,382973.8333333333,,Estimated,America,South America,Argentine Republic
ARG,2022,Municipal,0.0027726030246846096,382973.8333333333,,Estimated,America,South America,Argentine Republic
ARM,2007,Municipal,0.005186632823636643,716418.7,,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2012,Municipal,0.005162741922522532,713118.7,,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2017,Municipal,0.00471615061113649,651431.98,,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2022,Municipal,0.00471615061113649,651431.98,,Estimated,Asia,Western Asia,Republic of Armenia
ASM,2007,Municipal,2.2918975818788237e-05,3165.75,,Estimated,Oceania,Polynesia,American Samoa
ASM,2012,Municipal,2.2918975818788237e-05,3165.75,,Estimated,Oceania,Polynesia,American Samoa
ASM,2017,Municipal,2.2918975818788237e-05,3165.75,,Estimated,Oceania,Polynesia,American Samoa
ASM,2022,Municipal,2.2918975818788237e-05,3165.75,,Estimated,Oceania,Polynesia,American Samoa
ATG,2007,Municipal,0.25061762866155207,34617286.75,,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2012,Municipal,0.25041328906035637,34589061.75,,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2017,Municipal,0.02552576814676832,3525820.75,,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2022,Municipal,0.02552576814676832,3525820.75,,Estimated,America,Caribbean,Antigua and Barbuda
AUS,2007,Municipal,0.02899196324565855,4004599.0,,xx,Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2012,Municipal,0.031229512647336272,4313667.0,,xx,Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2017,Municipal,0.022404814668144524,3094730.0,,xx,Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2022,Municipal,0.022404814668144524,3094730.0,,Estimated,Oceania,Australia and New Zealand,Commonwealth of Australia
AUT,2007,Municipal,0.02156696800573961,2979000.0,,xx,Europe,Western Europe,Republic of Austria
AUT,2012,Municipal,0.020401381618051096,2818000.0,,xx,Europe,Western Europe,Republic of Austria
AUT,2017,Municipal,0.020980554978393212,2898000.0,,xx,Europe,Western Europe,Republic of Austria
AUT,2022,Municipal,0.020980554978393212,2898000.0,,Estimated,Europe,Western Europe,Republic of Austria
AZE,2007,Municipal,0.0,0.0,,xx,Asia,Western Asia,Republic of Azerbaijan
AZE,2012,Municipal,0.0,0.0,,xx,Asia,Western Asia,Republic of Azerbaijan
AZE,2017,Municipal,0.0,0.0,,xx,Asia,Western Asia,Republic of Azerbaijan
AZE,2022,Municipal,0.0,0.0,,Estimated,Asia,Western Asia,Republic of Azerbaijan
BDI,2007,Municipal,9.654016313865626e-05,13334.89,,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2012,Municipal,9.664875814372041e-05,13349.89,,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2017,Municipal,9.664875814372041e-05,13349.89,,Estimated,Africa,Eastern Africa,Republic of Burundi
BDI,2022,Municipal,9.664875814372041e-05,13349.89,,Estimated,Africa,Eastern Africa,Republic of Burundi
BEL,2007,Municipal,0.021552488671731054,2977000.0,,xx,Europe,Western Europe,Kingdom of Belgium
BEL,2012,Municipal,0.01909824155728133,2638000.0,,xx,Europe,Western Europe,Kingdom of Belgium
BEL,2017,Municipal,0.018222241849763877,2517000.0,,xx,Europe,Western Europe,Kingdom of Belgium
BEL,2022,Municipal,0.018222241849763877,2517000.0,,Estimated,Europe,Western Europe,Kingdom of Belgium
BEN,2007,Municipal,4.471218341841149e-06,617.6,,Estimated,Africa,Western Africa,Republic of Benin
BEN,2012,Municipal,4.471218341841149e-06,617.6,,Estimated,Africa,Western Africa,Republic of Benin
BEN,2017,Municipal,4.471218341841149e-06,617.6,,Estimated,Africa,Western Africa,Republic of Benin
BEN,2022,Municipal,4.471218341841149e-06,617.6,,xx,Africa,Western Africa,Republic of Benin
BFA,2007,Municipal,0.00014859579418785056,20525.225000000002,,Estimated,Africa,Western Africa,Burkina Faso
BFA,2012,Municipal,0.0003233551657557959,44664.37,,Estimated,Africa,Western Africa,Burkina Faso
BFA,2017,Municipal,0.0003805880274730884,52569.825000000004,,Estimated,Africa,Western Africa,Burkina Faso
BFA,2022,Municipal,0.0003805880274730884,52569.825000000004,,Estimated,Africa,Western Africa,Burkina Faso
BGD,2007,Municipal,2.810489408729156e-05,3882.0699999999997,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2012,Municipal,2.810489408729156e-05,3882.0699999999997,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2017,Municipal,2.3368197156403593e-05,3227.7999999999997,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGD,2022,Municipal,2.3368197156403593e-05,3227.7999999999997,,Estimated,Asia,Southern Asia,People's Republic of Bangladesh
BGR,2007,Municipal,0.006211634289669212,858000.0,,xx,Europe,Eastern Europe,Republic of Bulgaria
BGR,2012,Municipal,0.006088559950596512,841000.0,,xx,Europe,Eastern Europe,Republic of Bulgaria
BGR,2017,Municipal,0.007710245359554442,1065000.0,,xx,Europe,Eastern Europe,Republic of Bulgaria
BGR,2022,Municipal,0.007710245359554442,1065000.0,,Estimated,Europe,Eastern Europe,Republic of Bulgaria
BHR,2007,Municipal,1.3610573968039766e-07,18.8,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2012,Municipal,1.3610573968039766e-07,18.8,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHR,2017,Municipal,1.3610573968039766e-07,18.8,,xx,Asia,Western Asia,Kingdom of Bahrain
BHR,2022,Municipal,1.3610573968039766e-07,18.8,,Estimated,Asia,Western Asia,Kingdom of Bahrain
BHS,2007,Municipal,0.25061762866155207,34617286.75,,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2012,Municipal,0.25041328906035637,34589061.75,,Estimated,America,Caribbean,Commonwealth of the Bahamas
BHS,2017,Municipal,0.02552576814676832,3525820.75,,Estimated,America,Caribbean,Commonwealth of the Bahamas
