Region,Year,Indicator,Value,continent,UNregion,name_official,Normalized
AFG,2007,Protected Areas,0.0,Asia,Southern Asia,Islamic Republic of Afghanistan,0.0
AFG,2012,Protected Areas,0.0,Asia,Southern Asia,Islamic Republic of Afghanistan,0.0
AFG,2017,Protected Areas,0.0132,Asia,Southern Asia,Islamic Republic of Afghanistan,0.0132
AFG,2022,Protected Areas,0.0132,Asia,Southern Asia,Islamic Republic of Afghanistan,0.0132
AGO,2007,Protected Areas,0.0134,Africa,Middle Africa,Republic of Angola,0.0134
AGO,2012,Protected Areas,0.0134,Africa,Middle Africa,Republic of Angola,0.0134
AGO,2017,Protected Areas,0.0134,Africa,Middle Africa,Republic of Angola,0.0134
AGO,2022,Protected Areas,0.0134,Africa,Middle Africa,Republic of Angola,0.0134
ALB,2007,Protected Areas,0.34455,Europe,Southern Europe,Republic of Albania,0.34455
ALB,2012,Protected Areas,0.297275,Europe,Southern Europe,Republic of Albania,0.297275
ALB,2017,Protected Areas,0.0,Europe,Southern Europe,Republic of Albania,0.0
ALB,2022,Protected Areas,0.0,Europe,Southern Europe,Republic of Albania,0.0
AND,2007,Protected Areas,0.0,Europe,Southern Europe,Principality of Andorra,0.0
AND,2012,Protected Areas,0.0,Europe,Southern Europe,Principality of Andorra,0.0
AND,2017,Protected Areas,0.0,Europe,Southern Europe,Principality of Andorra,0.0
AND,2022,Protected Areas,0.0,Europe,Southern Europe,Principality of Andorra,0.0
ARE,2007,Protected Areas,0.09596388888888889,Asia,Western Asia,United Arab Emirates,0.09596388888888889
ARE,2012,Protected Areas,0.10451666666666666,Asia,Western Asia,United Arab Emirates,0.10451666666666666
ARE,2017,Protected Areas,0.09689444444444445,Asia,Western Asia,United Arab Emirates,0.09689444444444445
ARE,2022,Protected Areas,0.09689444444444445,Asia,Western Asia,United Arab Emirates,0.09689444444444445
ARG,2007,Protected Areas,0.05985,America,South America,Argentine Republic,0.05985
ARG,2012,Protected Areas,0.0619,America,South America,Argentine Republic,0.0619
ARG,2017,Protected Areas,0.0638,America,South America,Argentine Republic,0.0638
ARG,2022,Protected Areas,0.0638,America,South America,Argentine Republic,0.0638
ARM,2007,Protected Areas,0.09596388888888889,Asia,Western Asia,Republic of Armenia,0.09596388888888889
ARM,2012,Protected Areas,0.10451666666666666,Asia,Western Asia,Republic of Armenia,0.10451666666666666
ARM,2017,Protected Areas,0.09689444444444445,Asia,Western Asia,Republic of Armenia,0.09689444444444445
ARM,2022,Protected Areas,0.09689444444444445,Asia,Western Asia,Republic of Armenia,0.09689444444444445
ASM,2007,Protected Areas,0.1493,Oceania,Polynesia,American Samoa,0.1493
ASM,2012,Protected Areas,0.1499,Oceania,Polynesia,American Samoa,0.1499
ASM,2017,Protected Areas,0.1499,Oceania,Polynesia,American Samoa,0.1499
ASM,2022,Protected Areas,0.1499,Oceania,Polynesia,American Samoa,0.1499
ATG,2007,Protected Areas,0.2002903846153846,America,Caribbean,Antigua and Barbuda,0.2002903846153846
ATG,2012,Protected Areas,0.22780192307692307,America,Caribbean,Antigua and Barbuda,0.22780192307692307
ATG,2017,Protected Areas,0.22717692307692308,America,Caribbean,Antigua and Barbuda,0.22717692307692308
ATG,2022,Protected Areas,0.22717692307692308,America,Caribbean,Antigua and Barbuda,0.22717692307692308
