Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Protected Forests,0.7749054043558713,34.126,%,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Protected Forests,0.7749054043558713,34.126,%,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Protected Forests,0.7748992055888533,34.125,%,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Protected Forests,0.7748992055888533,34.125,%,Estimated,Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Protected Forests,0.18510743481772338,1.34,%,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2012,Protected Forests,0.18510743481772338,1.34,%,Estimated,Africa,Middle Africa,Republic of Angola
AGO,2017,Protected Forests,0.18510743481772338,1.34,%,Food and Agriculture Organization (FAO),Africa,Middle Africa,Republic of Angola
AGO,2022,Protected Forests,0.18510743481772338,1.34,%,Estimated,Africa,Middle Africa,Republic of Angola
ALB,2007,Protected Forests,0.8931261833602241,59.455,%,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2012,Protected Forests,0.8931261833602241,59.455,%,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2017,Protected Forests,0.8931261833602241,59.455,%,Food and Agriculture Organization (FAO),Europe,Southern Europe,Republic of Albania
ALB,2022,Protected Forests,0.8931261833602241,59.455,%,Estimated,Europe,Southern Europe,Republic of Albania
AND,2007,Protected Forests,0.8812658113035402,56.25,%,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2012,Protected Forests,0.8812658113035402,56.25,%,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2017,Protected Forests,0.8812658113035402,56.25,%,Estimated,Europe,Southern Europe,Principality of Andorra
AND,2022,Protected Forests,0.8812658113035402,56.25,%,Estimated,Europe,Southern Europe,Principality of Andorra
ARE,2007,Protected Forests,0.7328468462500832,27.955999999999996,%,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2012,Protected Forests,0.7328468462500832,27.955999999999996,%,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2017,Protected Forests,0.7307513858302249,27.678666666666665,%,Estimated,Asia,Western Asia,United Arab Emirates
ARE,2022,Protected Forests,0.7307513858302249,27.678666666666665,%,Estimated,Asia,Western Asia,United Arab Emirates
ARG,2007,Protected Forests,0.7477827539592165,30.012,%,Estimated,America,South America,Argentine Republic
ARG,2012,Protected Forests,0.7477827539592165,30.012,%,Estimated,America,South America,Argentine Republic
ARG,2017,Protected Forests,0.7432172169725892,29.3685,%,Estimated,America,South America,Argentine Republic
ARG,2022,Protected Forests,0.7432172169725892,29.3685,%,Estimated,America,South America,Argentine Republic
ARM,2007,Protected Forests,0.7328468462500832,27.955999999999996,%,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2012,Protected Forests,0.7328468462500832,27.955999999999996,%,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2017,Protected Forests,0.7307513858302249,27.678666666666665,%,Estimated,Asia,Western Asia,Republic of Armenia
ARM,2022,Protected Forests,0.7307513858302249,27.678666666666665,%,Estimated,Asia,Western Asia,Republic of Armenia
ASM,2007,Protected Forests,0.6035528988284479,14.99,%,Estimated,Oceania,Polynesia,American Samoa
ASM,2012,Protected Forests,0.6035528988284479,14.99,%,Estimated,Oceania,Polynesia,American Samoa
ASM,2017,Protected Forests,0.6035528988284479,14.99,%,Food and Agriculture Organization (FAO),Oceania,Polynesia,American Samoa
ASM,2022,Protected Forests,0.6035528988284479,14.99,%,Estimated,Oceania,Polynesia,American Samoa
ATG,2007,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2012,Protected Forests,0.8118888436684533,40.629000000000005,%,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2017,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Antigua and Barbuda
ATG,2022,Protected Forests,0.802390283693887,38.852000000000004,%,Estimated,America,Caribbean,Antigua and Barbuda
AUS,2007,Protected Forests,0.7118575108393904,25.295,%,Estimated,Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2012,Protected Forests,0.7118575108393904,25.295,%,Estimated,Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2017,Protected Forests,0.7118989092216568,25.299999999999997,%,Food and Agriculture Organization (FAO),Oceania,Australia and New Zealand,Commonwealth of Australia
AUS,2022,Protected Forests,0.7118989092216568,25.299999999999997,%,Estimated,Oceania,Australia and New Zealand,Commonwealth of Australia
AUT,2007,Protected Forests,0.7887673806627422,36.435,%,Estimated,Europe,Western Europe,Republic of Austria
AUT,2012,Protected Forests,0.7887673806627422,36.435,%,Estimated,Europe,Western Europe,Republic of Austria
AUT,2017,Protected Forests,0.787688689661917,36.25,%,Food and Agriculture Organization (FAO),Europe,Western Europe,Republic of Austria
AUT,2022,Protected Forests,0.787688689661917,36.25,%,Estimated,Europe,Western Europe,Republic of Austria
AZE,2007,Protected Forests,0.7328468462500832,27.955999999999996,%,Estimated,Asia,Western Asia,Republic of Azerbaijan
AZE,2012,Protected Forests,0.7328468462500832,27.955999999999996,%,Estimated,Asia,Western Asia,Republic of Azerbaijan
