Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Red List Index,0.7580645161290323,0.84,,BirdLife International and IUCN – processed by Our World in Data,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Red List Index,0.7580645161290323,0.84,,BirdLife International and IUCN – processed by Our World in Data,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Red List Index,0.7580645161290323,0.84,,BirdLife International and IUCN – processed by Our World in Data,Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Red List Index,0.7580645161290323,0.84,,BirdLife International and IUCN – processed by Our World in Data,Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Red List Index,0.903225806451613,0.93,,BirdLife International and IUCN – processed by Our World in Data,Africa,Middle Africa,Republic of Angola
AGO,2012,Red List Index,0.903225806451613,0.93,,BirdLife International and IUCN – processed by Our World in Data,Africa,Middle Africa,Republic of Angola
AGO,2017,Red List Index,0.903225806451613,0.93,,BirdLife International and IUCN – processed by Our World in Data,Africa,Middle Africa,Republic of Angola
AGO,2022,Red List Index,0.903225806451613,0.93,,BirdLife International and IUCN – processed by Our World in Data,Africa,Middle Africa,Republic of Angola
ALB,2007,Red List Index,0.8617511520737327,0.9042857142857142,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2012,Red List Index,0.8582949308755758,0.902142857142857,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2017,Red List Index,0.8571428571428571,0.9014285714285714,,Estimated,Europe,Southern Europe,Republic of Albania
ALB,2022,Red List Index,0.8525345622119815,0.8985714285714286,,Estimated,Europe,Southern Europe,Republic of Albania
AND,2007,Red List Index,0.870967741935484,0.91,,BirdLife International and IUCN – processed by Our World in Data,Europe,Southern Europe,Principality of Andorra
AND,2012,Red List Index,0.870967741935484,0.91,,BirdLife International and IUCN – processed by Our World in Data,Europe,Southern Europe,Principality of Andorra
AND,2017,Red List Index,0.870967741935484,0.91,,BirdLife International and IUCN – processed by Our World in Data,Europe,Southern Europe,Principality of Andorra
AND,2022,Red List Index,0.870967741935484,0.91,,BirdLife International and IUCN – processed by Our World in Data,Europe,Southern Europe,Principality of Andorra
ARE,2007,Red List Index,0.8387096774193549,0.89,,BirdLife International and IUCN – processed by Our World in Data,Asia,Western Asia,United Arab Emirates
ARE,2012,Red List Index,0.8064516129032259,0.87,,BirdLife International and IUCN – processed by Our World in Data,Asia,Western Asia,United Arab Emirates
ARE,2017,Red List Index,0.7903225806451613,0.86,,BirdLife International and IUCN – processed by Our World in Data,Asia,Western Asia,United Arab Emirates
ARE,2022,Red List Index,0.7741935483870968,0.85,,BirdLife International and IUCN – processed by Our World in Data,Asia,Western Asia,United Arab Emirates
ARG,2007,Red List Index,0.7741935483870968,0.85,,BirdLife International and IUCN – processed by Our World in Data,America,South America,Argentine Republic
ARG,2012,Red List Index,0.7580645161290323,0.84,,BirdLife International and IUCN – processed by Our World in Data,America,South America,Argentine Republic
ARG,2017,Red List Index,0.7580645161290323,0.84,,BirdLife International and IUCN – processed by Our World in Data,America,South America,Argentine Republic
ARG,2022,Red List Index,0.7580645161290323,0.84,,BirdLife International and IUCN – processed by Our World in Data,America,South America,Argentine Republic
ARM,2007,Red List Index,0.7419354838709676,0.83,,BirdLife International and IUCN – processed by Our World in Data,Asia,Western Asia,Republic of Armenia
ARM,2012,Red List Index,0.7419354838709676,0.83,,BirdLife International and IUCN – processed by Our World in Data,Asia,Western Asia,Republic of Armenia
