Region,Year,Indicator,Normalized,Value,Unit,Source,Continent,UN_Region,Official_Name
AFG,2007,Waste Management,0.29659878616044955,0.22045768677050726,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2012,Waste Management,0.29659878616044955,0.22045768677050726,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2017,Waste Management,0.2905825373034196,0.2155356164503174,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Asia,Southern Asia,Islamic Republic of Afghanistan
AFG,2022,Waste Management,0.2905825373034196,0.2155356164503174,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Asia,Southern Asia,Islamic Republic of Afghanistan
AGO,2007,Waste Management,0.3707595255595048,0.2827931441267519,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Africa,Middle Africa,Republic of Angola
AGO,2012,Waste Management,0.3707595255595048,0.2827931441267519,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Africa,Middle Africa,Republic of Angola
AGO,2017,Waste Management,0.3707595255595048,0.2827931441267519,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Africa,Middle Africa,Republic of Angola
AGO,2022,Waste Management,0.3707595255595048,0.2827931441267519,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Africa,Middle Africa,Republic of Angola
ALB,2007,Waste Management,0.8913899266715671,0.8198393484092369,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Europe,Southern Europe,Republic of Albania
ALB,2012,Waste Management,0.8942097304782473,0.8232895130383131,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Europe,Southern Europe,Republic of Albania
ALB,2017,Waste Management,0.8986890833342692,0.828783668469498,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Europe,Southern Europe,Republic of Albania
ALB,2022,Waste Management,0.9268230305169617,0.8636719477378376,,Estimated Based on United Nations Economic Commission for Europe (UNECE),Europe,Southern Europe,Republic of Albania
